,Forma
0,yendo
1,siendo
2,teniendo
3,haciendo
4,estando
5,diciendo
6,viendo
7,habiendo
8,dando
9,pudiendo
10,hablando
11,queriendo
12,viniendo
13,comiendo
14,sabiendo
15,poniendo
16,saliendo
17,leyendo
18,durmiendo
19,volviendo
20,pidiendo
21,viviendo
22,trayendo
23,llevando
24,jugando
25,llegando
26,oyendo
27,tomando
28,empezando
29,conociendo
30,siguiendo
31,escribiendo
32,comprando
33,sintiendo
34,pensando
35,bebiendo
36,abriendo
37,gustando
38,quejando
39,cayendo
40,cerrando
41,encontrando
42,creyendo
43,perdiendo
44,prefiriendo
45,quedando
46,muriendo
47,sirviendo
48,buscando
49,trabajando
50,estudiando
51,sentando
52,comenzando
53,conduciendo
54,yendo
55,sacando
56,aprendiendo
57,limpiando
58,llamando
59,pagando
60,corriendo
61,bailando
62,terminando
63,pasando
64,dejando
65,andando
66,entendiendo
67,vistiendo
68,visitando
69,almorzando
70,lloviendo
71,divirtiendo
72,consiguiendo
73,repitiendo
74,caminando
75,esperando
76,cambiando
77,eligiendo
78,tocando
79,mirando
80,cabiendo
81,debiendo
82,recibiendo
83,acostando
84,levantando
85,moviendo
86,cantando
87,ayudando
88,contando
89,vendiendo
90,hirviendo
91,ganando
92,viajando
93,escuchando
94,cogiendo
95,necesitando
96,despertando
97,recordando
98,deseando
99,huyendo
100,decidiendo
101,lavando
102,subiendo
103,pareciendo
104,practicando
105,nadando
106,despidiendo
107,traduciendo
108,sonriendo
109,mintiendo
110,hiriendo
111,usando
112,casando
113,sugiriendo
114,desayunando
115,ofreciendo
116,rompiendo
117,hackeando
118,devolviendo
119,cubriendo
120,oliendo
121,manteniendo
122,mandando
123,construyendo
124,naciendo
125,comprendiendo
126,permitiendo
127,olvidando
128,abanderando
129,recomendando
130,asistiendo
131,costando
132,enviando
133,preparando
134,cocinando
135,compartiendo
136,preguntando
137,cuidando
138,resolviendo
139,callando
140,recogiendo
141,mostrando
142,helando
143,rogando
144,creciendo
145,hinchiendo
