,tu,usted,vosotros,ustedes
0,ve / andá,vaya,id,vayan
1,sé,sea,sed,sean
2,ten / tené,tenga,tened,tengan
3,haz / hacé,haga,haced,hagan
4,está,esté,estad,estén
5,di / decí,diga,decid,digan
6,ve,vea,ved,vean
7,"he, habe",haya,habed,hayan
8,da,dé,dad,den
9,puede / podé,pueda,poded,puedan
10,habla / hablá,hable,hablad,hablen
11,quiere / queré,quiera,quered,quieran
12,ven / vení,venga,venid,vengan
13,come / comé,coma,comed,coman
14,sabe / sabé,sepa,sabed,sepan
15,pon / poné,ponga,poned,pongan
16,sal / salí,salga,salid,salgan
17,lee / leé,lea,leed,lean
18,duerme / dormí,duerma,dormid,duerman
19,vuelve / volvé,vuelva,volved,vuelvan
20,pide / pedí,pida,pedid,pidan
21,vive / viví,viva,vivid,vivan
22,trae / traé,traiga,traed,traigan
23,lleva / llevá,lleve,llevad,lleven
24,juega / jugá,juegue,jugad,jueguen
25,llega / llegá,llegue,llegad,lleguen
26,oye / oí,oiga,oíd,oigan
27,toma / tomá,tome,tomad,tomen
28,empieza / empezá,empiece,empezad,empiecen
29,conoce / conocé,conozca,conoced,conozcan
30,sigue / seguí,siga,seguid,sigan
31,escribe / escribí,escriba,escribid,escriban
32,compra / comprá,compre,comprad,compren
33,siente / sentí,sienta,sentid,sientan
34,piensa / pensá,piense,pensad,piensen
35,bebe / bebé,beba,bebed,beban
36,abre / abrí,abra,abrid,abran
37,gusta / gustá,guste,gustad,gusten
38,queja / quejá,queje,quejad,quejen
39,cae / caé,caiga,caed,caigan
40,cierra / cerrá,cierre,cerrad,cierren
41,encuentra / encontrá,encuentre,encontrad,encuentren
42,cree / creé,crea,creed,crean
43,pierde / perdé,pierda,perded,pierdan
44,prefiere / preferí,prefiera,preferid,prefieran
45,queda / quedá,quede,quedad,queden
46,muere / morí,muera,morid,mueran
47,sirve / serví,sirva,servid,sirvan
48,busca / buscá,busque,buscad,busquen
49,trabaja / trabajá,trabaje,trabajad,trabajen
50,estudia / estudiá,estudie,estudiad,estudien
51,sienta / sentá,siente,sentad,sienten
52,comienza / comenzá,comience,comenzad,comiencen
53,conduce / conducí,conduzca,conducid,conduzcan
54,ve / andá,vaya,id,vayan
55,saca / sacá,saque,sacad,saquen
56,aprende / aprendé,aprenda,aprended,aprendan
57,limpia / limpiá,limpie,limpiad,limpien
58,llama / llamá,llame,llamad,llamen
59,paga / pagá,pague,pagad,paguen
60,corre / corré,corra,corred,corran
61,baila / bailá,baile,bailad,bailen
62,termina / terminá,termine,terminad,terminen
63,pasa / pasá,pase,pasad,pasen
64,deja / dejá,deje,dejad,dejen
65,anda / andá,ande,andad,anden
66,entiende / entendé,entienda,entended,entiendan
67,viste / vestí,vista,vestid,vistan
68,visita / visitá,visite,visitad,visiten
