,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,iba,ibas,iba,íbamos,ibais,iban
1,era,eras,era,éramos,erais,eran
2,tenía,tenías,tenía,teníamos,teníais,tenían
3,hacía,hacías,hacía,hacíamos,hacíais,hacían
4,estaba,estabas,estaba,estábamos,estabais,estaban
5,decía,decías,decía,decíamos,decíais,decían
6,veía,veías,veía,veíamos,veíais,veían
7,había,habías,había,habíamos,habíais,habían
8,daba,dabas,daba,dábamos,dabais,daban
9,podía,podías,podía,podíamos,podíais,podían
10,hablaba,hablabas,hablaba,hablábamos,hablabais,hablaban
11,quería,querías,quería,queríamos,queríais,querían
12,venía,venías,venía,veníamos,veníais,venían
13,comía,comías,comía,comíamos,comíais,comían
14,sabía,sabías,sabía,sabíamos,sabíais,sabían
15,ponía,ponías,ponía,poníamos,poníais,ponían
16,salía,salías,salía,salíamos,salíais,salían
17,leía,leías,leía,leíamos,leíais,leían
18,dormía,dormías,dormía,dormíamos,dormíais,dormían
19,volvía,volvías,volvía,volvíamos,volvíais,volvían
20,pedía,pedías,pedía,pedíamos,pedíais,pedían
21,vivía,vivías,vivía,vivíamos,vivíais,vivían
22,traía,traías,traía,traíamos,traíais,traían
23,llevaba,llevabas,llevaba,llevábamos,llevabais,llevaban
24,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban
25,llegaba,llegabas,llegaba,llegábamos,llegabais,llegaban
26,oía,oías,oía,oíamos,oíais,oían
27,tomaba,tomabas,tomaba,tomábamos,tomabais,tomaban
28,empezaba,empezabas,empezaba,empezábamos,empezabais,empezaban
29,conocía,conocías,conocía,conocíamos,conocíais,conocían
30,seguía,seguías,seguía,seguíamos,seguíais,seguían
31,escribía,escribías,escribía,escribíamos,escribíais,escribían
32,compraba,comprabas,compraba,comprábamos,comprabais,compraban
33,sentía,sentías,sentía,sentíamos,sentíais,sentían
34,pensaba,pensabas,pensaba,pensábamos,pensabais,pensaban
35,bebía,bebías,bebía,bebíamos,bebíais,bebían
36,abría,abrías,abría,abríamos,abríais,abrían
37,gustaba,gustabas,gustaba,gustábamos,gustabais,gustaban
38,quejaba,quejabas,quejaba,quejábamos,quejabais,quejaban
39,caía,caías,caía,caíamos,caíais,caían
40,cerraba,cerrabas,cerraba,cerrábamos,cerrabais,cerraban
41,encontraba,encontrabas,encontraba,encontrábamos,encontrabais,encontraban
42,creía,creías,creía,creíamos,creíais,creían
43,perdía,perdías,perdía,perdíamos,perdíais,perdían
44,prefería,preferías,prefería,preferíamos,preferíais,preferían
45,quedaba,quedabas,quedaba,quedábamos,quedabais,quedaban
46,moría,morías,moría,moríamos,moríais,morían
47,servía,servías,servía,servíamos,servíais,servían
48,buscaba,buscabas,buscaba,buscábamos,buscabais,buscaban
