,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,fui,fuiste,fue,fuimos,fuisteis,fueron
1,fui,fuiste,fue,fuimos,fuisteis,fueron
2,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron
3,hice,hiciste,hizo,hicimos,hicisteis,hicieron
4,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron
5,dije,dijiste,dijo,dijimos,dijisteis,dijeron
6,vi,viste,vio,vimos,visteis,vieron
7,hube,hubiste,hubo,hubimos,hubisteis,hubieron
8,di,diste,dio,dimos,disteis,dieron
9,pude,pudiste,pudo,pudimos,pudisteis,pudieron
10,hablé,hablaste,habló,hablamos,hablasteis,hablaron
11,quise,quisiste,quiso,quisimos,quisisteis,quisieron
12,vine,viniste,vino,vinimos,vinisteis,vinieron
13,comí,comiste,comió,comimos,comisteis,comieron
14,supe,supiste,supo,supimos,supisteis,supieron
15,puse,pusiste,puso,pusimos,pusisteis,pusieron
16,salí,saliste,salió,salimos,salisteis,salieron
17,leí,leíste,leyó,leímos,leísteis,leyeron
18,dormí,dormiste,durmió,dormimos,dormisteis,durmieron
19,volví,volviste,volvió,volvimos,volvisteis,volvieron
20,pedí,pediste,pidió,pedimos,pedisteis,pidieron
21,viví,viviste,vivió,vivimos,vivisteis,vivieron
22,traje,trajiste,trajo,trajimos,trajisteis,trajeron
23,llevé,llevaste,llevó,llevamos,llevasteis,llevaron
24,jugué,jugaste,jugó,jugamos,jugasteis,jugaron
25,llegué,llegaste,llegó,llegamos,llegasteis,llegaron
26,oí,oíste,oyó,oímos,oísteis,oyeron
27,tomé,tomaste,tomó,tomamos,tomasteis,tomaron
28,empecé,empezaste,empezó,empezamos,empezasteis,empezaron
29,conocí,conociste,conoció,conocimos,conocisteis,conocieron
30,seguí,seguiste,siguió,seguimos,seguisteis,siguieron
31,escribí,escribiste,escribió,escribimos,escribisteis,escribieron
32,compré,compraste,compró,compramos,comprasteis,compraron
33,sentí,sentiste,sintió,sentimos,sentisteis,sintieron
34,pensé,pensaste,pensó,pensamos,pensasteis,pensaron
35,bebí,bebiste,bebió,bebimos,bebisteis,bebieron
36,abrí,abriste,abrió,abrimos,abristeis,abrieron
37,gusté,gustaste,gustó,gustamos,gustasteis,gustaron
38,quejé,quejaste,quejó,quejamos,quejasteis,quejaron
39,caí,caíste,cayó,caímos,caísteis,cayeron
40,cerré,cerraste,cerró,cerramos,cerrasteis,cerraron
41,encontré,encontraste,encontró,encontramos,encontrasteis,encontraron
42,creí,creíste,creyó,creímos,creísteis,creyeron
43,perdí,perdiste,perdió,perdimos,perdisteis,perdieron
44,preferí,preferiste,prefirió,preferimos,preferisteis,prefirieron
45,quedé,quedaste,quedó,quedamos,quedasteis,quedaron
46,morí,moriste,murió,morimos,moristeis,murieron
47,serví,serviste,sirvió,servimos,servisteis,sirvieron
48,busqué,buscaste,buscó,buscamos,buscasteis,buscaron
49,trabajé,trabajaste,trabajó,trabajamos,trabajasteis,trabajaron
50,estudié,estudiaste,estudió,estudiamos,estudiasteis,estudiaron
51,senté,sentaste,sentó,sentamos,sentasteis,sentaron
52,comencé,comenzaste,comenzó,comenzamos,comenzasteis,comenzaron
53,conduje,condujiste,condujo,condujimos,condujisteis,condujeron
54,fui,fuiste,fue,fuimos,fuisteis,fueron
55,saqué,sacaste,sacó,sacamos,sacasteis,sacaron
56,aprendí,aprendiste,aprendió,aprendimos,aprendisteis,aprendieron
57,limpié,limpiaste,limpió,limpiamos,limpiasteis,limpiaron
58,llamé,llamaste,llamó,llamamos,llamasteis,llamaron
59,pagué,pagaste,pagó,pagamos,pagasteis,pagaron
60,corrí,corriste,corrió,corrimos,corristeis,corrieron
61,bailé,bailaste,bailó,bailamos,bailasteis,bailaron
62,terminé,terminaste,terminó,terminamos,terminasteis,terminaron
63,pasé,pasaste,pasó,pasamos,pasasteis,pasaron
64,dejé,dejaste,dejó,dejamos,dejasteis,dejaron
65,anduve,anduviste,anduvo,anduvimos,anduvisteis,anduvieron
66,entendí,entendiste,entendió,entendimos,entendisteis,entendieron
67,vestí,vestiste,vistió,vestimos,vestisteis,vistieron
68,visité,visitaste,visitó,visitamos,visitasteis,visitaron
69,almorcé,almorzaste,almorzó,almorzamos,almorzasteis,almorzaron
70,lloví,lloviste,llovió,llovimos,llovisteis,llovieron
71,divertí,divertiste,divirtió,divertimos,divertisteis,divirtieron
72,conseguí,conseguiste,consiguió,conseguimos,conseguisteis,consiguieron
73,repetí,repetiste,repitió,repetimos,repetisteis,repitieron
74,caminé,caminaste,caminó,caminamos,caminasteis,caminaron
75,esperé,esperaste,esperó,esperamos,esperasteis,esperaron
76,cambié,cambiaste,cambió,cambiamos,cambiasteis,cambiaron
77,elegí,elegiste,eligió,elegimos,elegisteis,eligieron
78,toqué,tocaste,tocó,tocamos,tocasteis,tocaron
79,miré,miraste,miró,miramos,mirasteis,miraron
80,cupe,cupiste,cupo,cupimos,cupisteis,cupieron
81,debí,debiste,debió,debimos,debisteis,debieron
82,recibí,recibiste,recibió,recibimos,recibisteis,recibieron
83,acosté,acostaste,acostó,acostamos,acostasteis,acostaron
84,levanté,levantaste,levantó,levantamos,levantasteis,levantaron
85,moví,moviste,movió,movimos,movisteis,movieron
86,canté,cantaste,cantó,cantamos,cantasteis,cantaron
87,ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron
88,conté,contaste,contó,contamos,contasteis,contaron
89,vendí,vendiste,vendió,vendimos,vendisteis,vendieron
90,herví,herviste,hirvió,hervimos,hervisteis,hirvieron
91,gané,ganaste,ganó,ganamos,ganasteis,ganaron
92,viajé,viajaste,viajó,viajamos,viajasteis,viajaron
93,escuché,escuchaste,escuchó,escuchamos,escuchasteis,escucharon
94,cogí,cogiste,cogió,cogimos,cogisteis,cogieron
95,necesité,necesitaste,necesitó,necesitamos,necesitasteis,necesitaron
96,desperté,despertaste,despertó,despertamos,despertasteis,despertaron
97,recordé,recordaste,recordó,recordamos,recordasteis,recordaron
98,deseé,deseaste,deseó,deseamos,deseasteis,desearon
99,hui,huiste,huyó,huimos,huisteis,huyeron
100,decidí,decidiste,decidió,decidimos,decidisteis,decidieron
101,lavé,lavaste,lavó,lavamos,lavasteis,lavaron
102,subí,subiste,subió,subimos,subisteis,subieron
103,parecí,pareciste,pareció,parecimos,parecisteis,parecieron
104,practiqué,practicaste,practicó,practicamos,practicasteis,practicaron
105,nadé,nadaste,nadó,nadamos,nadasteis,nadaron
106,despedí,despediste,despidió,despedimos,despedisteis,despidieron
107,traduje,tradujiste,tradujo,tradujimos,tradujisteis,tradujeron
108,sonreí,sonreíste,sonrió,sonreímos,sonreísteis,sonrieron
109,mentí,mentiste,mintió,mentimos,mentisteis,mintieron
110,herí,heriste,hirió,herimos,heristeis,hirieron
111,usé,usaste,usó,usamos,usasteis,usaron
112,casé,casaste,casó,casamos,casasteis,casaron
113,sugerí,sugeriste,sugirió,sugerimos,sugeristeis,sugirieron
114,desayuné,desayunaste,desayunó,desayunamos,desayunasteis,desayunaron
115,ofrecí,ofreciste,ofreció,ofrecimos,ofrecisteis,ofrecieron
116,rompí,rompiste,rompió,rompimos,rompisteis,rompieron
117,hackeé,hackeaste,hackeó,hackeamos,hackeasteis,hackearon
118,devolví,devolviste,devolvió,devolvimos,devolvisteis,devolvieron
119,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron
120,olí,oliste,olió,olimos,olisteis,olieron
121,mantuve,mantuviste,mantuvo,mantuvimos,mantuvisteis,mantuvieron
122,mandé,mandaste,mandó,mandamos,mandasteis,mandaron
