,Forma
0,ido
1,sido
2,tenido
3,hecho
4,estado
5,dicho
6,visto
7,habido
8,dado
9,podido
10,hablado
11,querido
12,venido
13,comido
14,sabido
15,puesto
16,salido
17,leído
18,dormido
19,vuelto
20,pedido
21,vivido
22,traído
23,llevado
24,jugado
25,llegado
26,oído
27,tomado
28,empezado
29,conocido
30,seguido
31,escrito
32,comprado
33,sentido
34,pensado
35,bebido
36,abierto
37,gustado
38,quejado
39,caído
40,cerrado
41,encontrado
42,creído
43,perdido
44,preferido
45,quedado
46,muerto
47,servido
48,buscado
49,trabajado
50,estudiado
51,sentado
52,comenzado
53,conducido
54,ido
55,sacado
56,aprendido
57,limpiado
58,llamado
59,pagado
60,corrido
61,bailado
62,terminado
63,pasado
64,dejado
65,andado
66,entendido
67,vestido
68,visitado
69,almorzado
70,llovido
71,divertido
72,conseguido
73,repetido
74,caminado
75,esperado
76,cambiado
77,"elegido, electo"
78,tocado
79,mirado
80,cabido
81,debido
82,recibido
83,acostado
84,levantado
85,movido
86,cantado
87,ayudado
88,contado
89,vendido
90,hervido
91,ganado
92,viajado
93,escuchado
94,cogido
95,necesitado
96,despertado
97,recordado
98,deseado
99,huido
100,decidido
101,lavado
102,subido
103,parecido
104,practicado
105,nadado
106,despedido
107,traducido
108,sonreído
109,mentido
110,herido
111,usado
112,casado
113,sugerido
114,desayunado
115,ofrecido
116,roto
117,hackeado
118,devuelto
119,cubierto
120,olido
121,mantenido
122,mandado
123,construido
124,nacido
125,comprendido
126,permitido
127,olvidado
128,abanderado
129,recomendado
130,asistido
131,costado
132,enviado
133,preparado
134,cocinado
135,compartido
136,preguntado
137,cuidado
138,resuelto
139,callado
140,recogido
141,mostrado
142,helado
143,rogado
144,crecido
145,henchido
146,habituado
147,amado
148,sonado
149,escogido
150,dolido
151,exigido
152,entrado
153,volado
154,explicado
155,destruido
156,navegado
157,llorado
158,valido
159,apagado
160,probado
161,halagado
162,manejado
163,cortado
164,obtenido
165,gozado
166,hartado
167,sufrido
168,incluido
169,habilitado
170,aburrido
171,habitado
172,echado
173,regresado
174,corregido
175,prestado
176,barrido
177,hacendado
178,secado
179,cruzado
180,hinchado
181,hostigado
182,empacado
183,hospedado
184,cenado
185,defendido
186,entregado
187,sumergido
188,producido
189,acabado
190,organizado
191,bajado
192,solido
193,patinado
194,colgado
195,calentado
196,hipnotizado
197,peinado
198,tendido
199,contestado
200,encendido
201,participado
202,hacinado
203,quitado
204,heredado
205,creado
206,discutido
207,aceptado
208,descubierto
209,gastado
210,dirigido
211,abrazado
212,yacido
213,parado
214,obedecido
215,disfrutado
