,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,fuera o fuese,fueras o fueses,fuera o fuese,fuéramos o fuésemos,fuerais o fueseis,fueran o fuesen
1,fuera o fuese,fueras o fueses,fuera o fuese,fuéramos o fuésemos,fuerais o fueseis,fueran o fuesen
2,tuviera o tuviese,tuvieras o tuvieses,tuviera o tuviese,tuviéramos o tuviésemos,tuvierais o tuvieseis,tuvieran o tuviesen
3,hiciera o hiciese,hicieras o hicieses,hiciera o hiciese,hiciéramos o hiciésemos,hicierais o hicieseis,hicieran o hiciesen
4,estuviera o estuviese,estuvieras o estuvieses,estuviera o estuviese,estuviéramos o estuviésemos,estuvierais o estuvieseis,estuvieran o estuviesen
5,dijera o dijese,dijeras o dijeses,dijera o dijese,dijéramos o dijésemos,dijerais o dijeseis,dijeran o dijesen
6,viera o viese,vieras o vieses,viera o viese,viéramos o viésemos,vierais o vieseis,vieran o viesen
7,hubiera o hubiese,hubieras o hubieses,hubiera o hubiese,hubiéramos o hubiésemos,hubierais o hubieseis,hubieran o hubiesen
8,diera o diese,dieras o dieses,diera o diese,diéramos o diésemos,dierais o dieseis,dieran o diesen
9,pudiera o pudiese,pudieras o pudieses,pudiera o pudiese,pudiéramos o pudiésemos,pudierais o pudieseis,pudieran o pudiesen
10,hablara o hablase,hablaras o hablases,hablara o hablase,habláramos o hablásemos,hablarais o hablaseis,hablaran o hablasen
11,quisiera o quisiese,quisieras o quisieses,quisiera o quisiese,quisiéramos o quisiésemos,quisierais o quisieseis,quisieran o quisiesen
12,viniera o viniese,vinieras o vinieses,viniera o viniese,viniéramos o viniésemos,vinierais o vinieseis,vinieran o viniesen
13,comiera o comiese,comieras o comieses,comiera o comiese,comiéramos o comiésemos,comierais o comieseis,comieran o comiesen
14,supiera o supiese,supieras o supieses,supiera o supiese,supiéramos o supiésemos,supierais o supieseis,supieran o supiesen
15,pusiera o pusiese,pusieras o pusieses,pusiera o pusiese,pusiéramos o pusiésemos,pusierais o pusieseis,pusieran o pusiesen
16,saliera o saliese,salieras o salieses,saliera o saliese,saliéramos o saliésemos,salierais o salieseis,salieran o saliesen
17,leyera o leyese,leyeras o leyeses,leyera o leyese,leyéramos o leyésemos,leyerais o leyeseis,leyeran o leyesen
18,durmiera o durmiese,durmieras o durmieses,durmiera o durmiese,durmiéramos o durmiésemos,durmierais o durmieseis,durmieran o durmiesen
19,volviera o volviese,volvieras o volvieses,volviera o volviese,volviéramos o volviésemos,volvierais o volvieseis,volvieran o volviesen
20,pidiera o pidiese,pidieras o pidieses,pidiera o pidiese,pidiéramos o pidiésemos,pidierais o pidieseis,pidieran o pidiesen
21,viviera o viviese,vivieras o vivieses,viviera o viviese,viviéramos o viviésemos,vivierais o vivieseis,vivieran o viviesen
22,trajera o trajese,trajeras o trajeses,trajera o trajese,trajéramos o trajésemos,trajerais o trajeseis,trajeran o trajesen
23,llevara o llevase,llevaras o llevases,llevara o llevase,lleváramos o llevásemos,llevarais o llevaseis,llevaran o llevasen
24,jugara o jugase,jugaras o jugases,jugara o jugase,jugáramos o jugásemos,jugarais o jugaseis,jugaran o jugasen
25,llegara o llegase,llegaras o llegases,llegara o llegase,llegáramos o llegásemos,llegarais o llegaseis,llegaran o llegasen
