,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
0,vaya,vayas,vaya,vayamos,vayáis,vayan
1,sea,seas,sea,seamos,seáis,sean
2,tenga,tengas,tenga,tengamos,tengáis,tengan
3,haga,hagas,haga,hagamos,hagáis,hagan
4,esté,estés,esté,estemos,estéis,estén
5,diga,digas,diga,digamos,digáis,digan
6,vea,veas,vea,veamos,veáis,vean
7,haya,hayas,haya,hayamos,hayáis,hayan
8,dé,des,dé,demos,deis,den
9,pueda,puedas,pueda,podamos,podáis,puedan
10,hable,hables,hable,hablemos,habléis,hablen
11,quiera,quieras,quiera,queramos,queráis,quieran
12,venga,vengas,venga,vengamos,vengáis,vengan
13,coma,comas,coma,comamos,comáis,coman
14,sepa,sepas,sepa,sepamos,sepáis,sepan
15,ponga,pongas,ponga,pongamos,pongáis,pongan
16,salga,salgas,salga,salgamos,salgáis,salgan
17,lea,leas,lea,leamos,leáis,lean
18,duerma,duermas,duerma,durmamos,durmáis,duerman
19,vuelva,vuelvas,vuelva,volvamos,volváis,vuelvan
20,pida,pidas,pida,pidamos,pidáis,pidan
21,viva,vivas,viva,vivamos,viváis,vivan
22,traiga,traigas,traiga,traigamos,traigáis,traigan
23,lleve,lleves,lleve,llevemos,llevéis,lleven
24,juegue,juegues,juegue,juguemos,juguéis,jueguen
25,llegue,llegues,llegue,lleguemos,lleguéis,lleguen
26,oiga,oigas,oiga,oigamos,oigáis,oigan
27,tome,tomes,tome,tomemos,toméis,tomen
28,empiece,empieces,empiece,empecemos,empecéis,empiecen
29,conozca,conozcas,conozca,conozcamos,conozcáis,conozcan
30,siga,sigas,siga,sigamos,sigáis,sigan
31,escriba,escribas,escriba,escribamos,escribáis,escriban
32,compre,compres,compre,compremos,compréis,compren
33,sienta,sientas,sienta,sintamos,sintáis,sientan
34,piense,pienses,piense,pensemos,penséis,piensen
35,beba,bebas,beba,bebamos,bebáis,beban
36,abra,abras,abra,abramos,abráis,abran
37,guste,gustes,guste,gustemos,gustéis,gusten
38,queje,quejes,queje,quejemos,quejéis,quejen
39,caiga,caigas,caiga,caigamos,caigáis,caigan
40,cierre,cierres,cierre,cerremos,cerréis,cierren
41,encuentre,encuentres,encuentre,encontremos,encontréis,encuentren
42,crea,creas,crea,creamos,creáis,crean
43,pierda,pierdas,pierda,perdamos,perdáis,pierdan
44,prefiera,prefieras,prefiera,prefiramos,prefiráis,prefieran
45,quede,quedes,quede,quedemos,quedéis,queden
46,muera,mueras,muera,muramos,muráis,mueran
47,sirva,sirvas,sirva,sirvamos,sirváis,sirvan
48,busque,busques,busque,busquemos,busquéis,busquen
49,trabaje,trabajes,trabaje,trabajemos,trabajéis,trabajen
50,estudie,estudies,estudie,estudiemos,estudiéis,estudien
51,siente,sientes,siente,sentemos,sentéis,sienten
52,comience,comiences,comience,comencemos,comencéis,comiencen
53,conduzca,conduzcas,conduzca,conduzcamos,conduzcáis,conduzcan
54,vaya,vayas,vaya,vayamos,vayáis,vayan
55,saque,saques,saque,saquemos,saquéis,saquen
56,aprenda,aprendas,aprenda,aprendamos,aprendáis,aprendan
57,limpie,limpies,limpie,limpiemos,limpiéis,limpien
58,llame,llames,llame,llamemos,llaméis,llamen
59,pague,pagues,pague,paguemos,paguéis,paguen
60,corra,corras,corra,corramos,corráis,corran
61,baile,bailes,baile,bailemos,bailéis,bailen
62,termine,termines,termine,terminemos,terminéis,terminen
63,pase,pases,pase,pasemos,paséis,pasen
64,deje,dejes,deje,dejemos,dejéis,dejen
65,ande,andes,ande,andemos,andéis,anden
66,entienda,entiendas,entienda,entendamos,entendáis,entiendan
67,vista,vistas,vista,vistamos,vistáis,vistan
68,visite,visites,visite,visitemos,visitéis,visiten
69,almuerce,almuerces,almuerce,almorcemos,almorcéis,almuercen
70,llueva,lluevas,llueva,llovamos,llováis,lluevan
71,divierta,diviertas,divierta,divirtamos,divirtáis,diviertan
72,consiga,consigas,consiga,consigamos,consigáis,consigan
73,repita,repitas,repita,repitamos,repitáis,repitan
74,camine,camines,camine,caminemos,caminéis,caminen
75,espere,esperes,espere,esperemos,esperéis,esperen
76,cambie,cambies,cambie,cambiemos,cambiéis,cambien
77,elija,elijas,elija,elijamos,elijáis,elijan
78,toque,toques,toque,toquemos,toquéis,toquen
79,mire,mires,mire,miremos,miréis,miren
80,quepa,quepas,quepa,quepamos,quepáis,quepan
81,deba,debas,deba,debamos,debáis,deban
82,reciba,recibas,reciba,recibamos,recibáis,reciban
83,acueste o acoste,acuestes o acostes,acueste o acoste,acostemos,acostéis,acuesten o acosten
84,levante,levantes,levante,levantemos,levantéis,levanten
85,mueva,muevas,mueva,movamos,mováis,muevan
86,cante,cantes,cante,cantemos,cantéis,canten
87,ayude,ayudes,ayude,ayudemos,ayudéis,ayuden
88,cuente,cuentes,cuente,contemos,contéis,cuenten
89,venda,vendas,venda,vendamos,vendáis,vendan
90,hierva,hiervas,hierva,hirvamos,hirváis,hiervan
91,gane,ganes,gane,ganemos,ganéis,ganen
92,viaje,viajes,viaje,viajemos,viajéis,viajen
93,escuche,escuches,escuche,escuchemos,escuchéis,escuchen
94,coja,cojas,coja,cojamos,cojáis,cojan
95,necesite,necesites,necesite,necesitemos,necesitéis,necesiten
96,despierte,despiertes,despierte,despertemos,despertéis,despierten
97,recuerde,recuerdes,recuerde,recordemos,recordéis,recuerden
98,desee,desees,desee,deseemos,deseéis,deseen
99,huya,huyas,huya,huyamos,huyáis,huyan
100,decida,decidas,decida,decidamos,decidáis,decidan
101,lave,laves,lave,lavemos,lavéis,laven
102,suba,subas,suba,subamos,subáis,suban
103,parezca,parezcas,parezca,parezcamos,parezcáis,parezcan
104,practique,practiques,practique,practiquemos,practiquéis,practiquen
105,nade,nades,nade,nademos,nadéis,naden
106,despida,despidas,despida,despidamos,despidáis,despidan
107,traduzca,traduzcas,traduzca,traduzcamos,traduzcáis,traduzcan
108,sonría,sonrías,sonría,sonriamos,sonriáis,sonrían
109,mienta,mientas,mienta,mintamos,mintáis,mientan
110,hiera,hieras,hiera,hiramos,hiráis,hieran
111,use,uses,use,usemos,uséis,usen
112,case,cases,case,casemos,caséis,casen
113,sugiera,sugieras,sugiera,sugiramos,sugiráis,sugieran
114,desayune,desayunes,desayune,desayunemos,desayunéis,desayunen
115,ofrezca,ofrezcas,ofrezca,ofrezcamos,ofrezcáis,ofrezcan
116,rompa,rompas,rompa,rompamos,rompáis,rompan
117,hackee,hackees,hackee,hackeemos,hackeéis,hackeen
118,devuelva,devuelvas,devuelva,devolvamos,devolváis,devuelvan
